Unit=111
Time Max.(hh:mm:ss) 05:00:00 
LocalTime Ch1:260RE  Ch2:260ABS Ch3:260FLO Ch4:300RE Ch5:300ABS Ch6:300FLO Ch7:315RE Ch8:315ABS Ch9:315FLO Ch10:370RE Ch11:370ABS Ch12:370FLO 
07:42:21     1310.3 6270.3 900.4 923.4 3139.4 510.4 1534.7 4319.0 538.5 3452.3 16335.7 1571.4 
07:42:23     1318.0 6266.1 900.0 916.5 3138.7 527.1 1535.5 4318.6 548.9 3447.8 16335.2 1568.6 
07:42:25     1313.7 6265.5 897.3 924.0 3137.7 525.4 1527.5 4318.6 540.9 3445.7 16334.1 1567.0 
07:42:27     1315.2 6268.2 897.8 921.9 3137.2 521.2 1529.0 4318.2 539.1 3445.4 16331.4 1562.2 
07:42:29     1316.8 6265.0 896.6 919.8 3135.6 509.4 1540.1 4317.2 534.3 3439.2 16330.7 1552.3 
07:42:31     1317.8 6261.3 898.7 919.1 3135.4 521.1 1534.9 4318.4 538.3 3443.9 16330.6 1574.0 
07:42:33     1309.1 6260.6 900.8 921.7 3136.6 517.5 1528.5 4318.6 537.8 3437.1 16332.4 1568.3 
07:42:35     1317.6 6257.2 893.6 916.1 3132.0 520.2 1538.0 4311.9 540.6 3443.5 16315.2 1576.0 
07:42:37     1316.0 6255.6 891.4 915.8 3131.9 511.1 1531.5 4312.2 546.6 3437.0 16311.4 1562.5 
07:42:39     1314.4 6254.8 909.7 913.9 3131.1 525.0 1541.2 4310.7 542.3 3446.2 16308.0 1575.4 
07:42:41     1310.2 6253.6 899.1 930.5 3131.9 523.2 1521.6 4310.3 547.1 3451.3 16308.9 1560.4 
07:42:43     1307.5 6252.1 904.3 913.9 3130.2 519.5 1524.8 4309.8 548.4 3441.0 16307.1 1558.6 
07:42:46     1304.6 6253.3 912.7 913.8 3128.6 519.9 1530.0 4309.9 547.5 3444.6 16305.8 1566.9 
07:42:47     1310.4 6254.6 895.4 916.8 3129.1 527.9 1532.1 4309.4 525.9 3446.9 16305.3 1572.3 
07:42:49     1314.0 6252.2 896.4 910.3 3128.5 520.9 1520.7 4309.3 537.8 3448.7 16305.5 1575.3 
07:42:51     1312.0 6251.6 905.3 917.2 3129.2 519.3 1530.0 4307.6 554.0 3443.5 16306.7 1548.4 
07:42:53     1316.3 6258.1 887.4 920.6 3133.4 514.1 1533.1 4317.2 540.1 3440.6 16343.2 1557.7 
07:42:55     1317.0 6257.6 897.4 920.9 3132.6 536.9 1530.2 4316.3 543.1 3451.2 16337.4 1551.2 
07:42:57     1301.9 6259.4 890.9 918.9 3132.9 514.2 1530.0 4316.5 539.8 3444.2 16338.9 1531.2 
07:42:59     1314.0 6258.0 895.5 925.9 3131.7 521.5 1523.3 4316.8 522.3 3446.2 16336.1 1566.5 
07:43:01     1306.3 6256.1 911.8 911.1 3131.1 529.4 1541.6 4315.9 550.2 3439.6 16338.3 1557.6 
07:43:03     1311.8 6256.8 897.5 916.4 3132.0 525.2 1532.7 4315.1 529.9 3450.6 16336.6 1559.6 
07:43:05     1311.2 6258.3 898.3 921.6 3131.0 511.6 1522.6 4315.3 539.6 3445.1 16335.6 1557.9 
07:43:07     1312.3 6258.7 897.4 924.9 3130.8 508.9 1538.2 4314.3 541.1 3450.8 16333.0 1566.3 
07:43:09     1307.1 6259.8 893.5 918.0 3132.8 509.9 1529.8 4320.6 539.5 3445.1 16349.9 1542.1 
07:43:12     1314.4 6257.1 896.4 919.0 3133.3 513.7 1534.3 4320.1 539.0 3445.1 16349.7 1555.2 
07:43:13     1301.3 6256.1 880.4 916.3 3131.9 528.3 1529.3 4319.3 535.3 3450.3 16348.3 1554.8 
07:43:15     1310.2 6255.5 904.6 918.8 3131.5 514.0 1537.6 4319.0 544.8 3446.0 16345.9 1558.6 
07:43:17     1310.8 6259.0 887.9 913.2 3130.7 506.8 1535.9 4319.0 552.3 3452.7 16346.0 1553.7 
07:43:19     1306.8 6258.3 889.6 921.9 3131.1 513.8 1522.4 4317.6 532.0 3445.1 16344.3 1544.3 
07:43:21     1307.3 6254.5 890.9 927.2 3129.8 534.0 1525.7 4316.8 535.0 3440.5 16342.9 1553.3 
07:43:23     1310.1 6254.9 892.4 920.1 3130.2 517.7 1519.2 4315.7 533.8 3444.9 16341.7 1559.1 
07:43:25     1316.8 6208.8 907.2 912.7 3101.7 534.6 1521.6 4256.2 553.6 3444.8 16227.0 1702.5 
07:43:27     1301.8 6254.3 888.1 915.3 3128.9 517.4 1530.7 4315.5 541.5 3448.4 16341.2 1553.5 
07:43:29     1315.9 6239.4 891.5 918.4 3120.2 527.9 1524.8 4300.1 544.5 3455.8 16307.8 1562.7 
07:43:31     1320.8 6250.8 904.0 913.9 3129.0 516.8 1538.8 4315.1 536.8 3436.7 16337.3 1542.8 
07:43:33     1308.5 6249.9 890.3 915.5 3128.6 521.3 1531.1 4313.1 540.7 3437.6 16337.0 1559.1 
07:43:35     1309.2 6252.4 899.8 912.3 3127.8 522.1 1532.3 4313.0 540.5 3434.4 16335.1 1533.2 
07:43:37     1310.9 6252.6 891.1 916.0 3127.2 521.0 1520.9 4312.0 539.4 3440.6 16335.8 1554.7 
07:43:39     1310.5 6249.8 894.8 911.6 3126.5 524.4 1535.7 4311.1 551.2 3450.4 16333.8 1550.3 
07:43:41     1300.5 6248.3 888.0 911.4 3125.9 529.0 1533.3 4311.0 521.1 3443.3 16330.8 1554.4 
07:43:43     1310.3 6246.8 896.0 917.2 3124.9 532.3 1527.8 4310.5 524.4 3452.7 16325.8 1567.9 
07:43:45     1306.1 6248.6 895.4 910.5 3123.1 515.2 1531.8 4308.5 507.3 3450.6 16326.1 1556.3 
07:43:47     1300.8 6249.7 892.4 909.6 3123.3 520.4 1525.8 4309.4 539.6 3438.5 16323.5 1544.3 
07:43:49     1305.1 6244.9 893.6 918.9 3123.4 530.7 1531.5 4306.6 544.4 3439.7 16323.9 1548.6 
07:43:51     1307.3 6245.6 881.2 915.9 3122.3 532.3 1529.5 4306.3 546.9 3444.0 16319.4 1539.0 
07:43:53     1309.8 6246.8 891.5 910.0 3122.4 516.3 1533.1 4305.5 540.1 3442.0 16315.9 1560.7 
07:43:55     1318.3 6246.4 895.4 902.8 3122.5 527.1 1535.9 4305.8 532.3 3442.3 16314.6 1559.6 
07:43:57     1305.4 6247.7 898.9 917.5 3121.5 526.7 1526.6 4305.9 541.3 3443.3 16310.4 1552.5 
07:43:59     1298.2 6247.3 888.4 913.2 3121.8 513.7 1527.4 4306.3 531.4 3440.1 16316.7 1577.2 
07:44:01     1306.6 6250.0 898.6 908.8 3122.8 522.2 1524.0 4308.4 533.5 3442.1 16321.8 1557.5 
07:44:03     1309.2 6253.1 896.7 912.4 3122.8 520.5 1533.3 4306.7 541.8 3446.8 16318.0 1562.9 
07:44:05     1304.0 6250.8 903.0 913.4 3122.3 516.3 1525.8 4306.1 545.9 3441.8 16315.9 1557.6 
07:44:07     1318.8 6250.6 889.5 924.6 3120.8 520.9 1521.0 4307.3 533.4 3443.4 16313.2 1558.0 
07:44:09     1314.0 6250.3 897.3 913.3 3122.2 518.0 1527.2 4306.6 530.9 3449.1 16310.7 1571.2 
07:44:11     1311.3 6248.6 894.0 920.3 3119.8 517.1 1533.0 4305.4 533.6 3443.7 16310.8 1556.0 
07:44:13     1309.7 6251.9 887.9 909.7 3119.4 524.2 1527.4 4304.0 529.1 3440.9 16307.9 1556.3 
07:44:15     1317.3 6258.0 890.8 914.2 3122.8 517.1 1533.7 4309.6 528.2 3442.7 16327.7 1565.2 
07:44:17     1307.8 6264.4 891.8 905.0 3125.0 514.9 1526.7 4312.4 541.4 3436.9 16340.0 1551.0 
07:44:19     1307.0 6262.8 886.0 910.8 3124.9 527.5 1520.6 4311.9 531.0 3445.9 16339.6 1567.4 
07:44:21     1313.8 6265.1 896.6 914.8 3124.9 515.8 1526.1 4312.8 542.6 3440.3 16339.8 1554.6 
07:44:23     1308.4 6266.8 895.8 912.0 3126.1 521.1 1530.1 4311.6 553.7 3442.2 16337.8 1558.8 
07:44:25     1300.4 6262.6 893.1 920.9 3125.6 520.6 1524.3 4311.7 532.6 3452.4 16336.1 1561.2 
07:44:27     1304.6 6263.5 898.0 919.3 3124.4 519.5 1520.6 4312.1 542.3 3444.5 16337.2 1555.4 
07:44:29     1309.9 6262.0 883.8 918.9 3122.9 512.6 1531.3 4311.0 547.2 3445.8 16336.6 1548.8 
07:44:31     1315.3 6264.9 890.5 912.7 3124.2 534.0 1530.5 4303.6 541.9 3441.4 16338.1 1614.5 
07:44:33     1311.2 6278.6 898.6 920.6 3129.6 520.0 1531.5 4316.7 532.8 3446.5 16353.7 1558.6 
07:44:35     1320.7 6276.9 899.7 911.6 3128.4 522.2 1531.6 4315.2 540.5 3452.1 16352.9 1538.0 
07:44:37     1310.5 6278.3 891.1 916.0 3128.5 512.9 1524.0 4316.4 533.4 3451.1 16352.5 1545.2 
07:44:39     1308.7 6277.8 888.9 916.8 3127.5 510.7 1531.3 4315.4 533.2 3446.3 16352.0 1553.6 
07:44:41     1306.3 6279.2 891.3 910.1 3127.0 522.8 1524.8 4316.2 542.4 3439.9 16352.2 1553.8 
07:44:43     1305.4 6276.8 891.5 926.5 3127.5 530.7 1532.7 4315.0 523.8 3447.4 16350.8 1564.5 
07:44:46     1312.2 6277.1 893.3 915.8 3127.6 523.3 1526.7 4314.9 528.9 3446.5 16351.1 1557.3 
07:44:47     1318.3 6278.8 891.0 907.0 3127.5 533.0 1538.2 4315.4 529.8 3453.7 16351.4 1553.8 
07:44:49     1316.8 6285.8 897.6 914.1 3128.8 514.6 1524.7 4317.4 516.4 3450.3 16358.5 1549.0 
07:44:51     1308.1 6286.7 888.4 911.3 3131.0 519.8 1531.8 4318.1 528.2 3444.3 16359.3 1536.2 
07:44:53     1318.1 6286.8 895.0 922.2 3129.3 507.6 1522.1 4317.3 522.6 3451.1 16359.8 1544.2 
07:44:55     1311.5 6288.3 903.5 905.8 3129.6 517.6 1530.7 4319.0 525.7 3452.3 16357.6 1550.6 
07:44:57     1320.1 6289.8 883.6 906.7 3129.3 515.3 1523.4 4317.6 530.3 3455.9 16358.7 1561.4 
07:44:59     1302.0 6287.1 876.6 915.6 3128.4 536.8 1531.5 4316.4 524.1 3450.5 16358.1 1555.8 
07:45:01     1317.6 6286.0 902.4 918.8 3128.4 507.1 1528.3 4316.7 540.6 3454.3 16356.6 1546.6 
07:45:03     1311.5 6288.4 898.5 921.5 3129.2 527.4 1522.0 4317.9 520.4 3445.4 16357.7 1544.5 
07:45:05     1316.0 6264.8 884.5 909.2 3058.8 532.6 1517.2 4242.1 562.1 3463.6 16184.8 1709.3 
07:45:07     1314.0 6289.8 886.7 913.1 3129.1 516.9 1521.2 4317.5 535.6 3450.1 16362.2 1557.5 
07:45:09     1316.9 6292.4 897.1 918.3 3129.5 505.1 1522.0 4316.2 551.3 3450.4 16362.3 1552.6 
07:45:11     1312.0 6291.6 892.6 906.5 3129.1 515.0 1530.6 4318.0 533.6 3449.2 16363.7 1541.5 
07:45:13     1319.1 6289.5 911.3 910.8 3129.1 512.5 1535.4 4318.2 534.5 3451.4 16360.3 1557.5 
07:45:15     1320.0 6288.7 908.6 917.0 3129.6 526.1 1538.6 4316.2 534.2 3451.7 16360.5 1547.6 
07:45:17     1317.8 6290.5 904.5 905.5 3129.2 515.5 1527.2 4316.8 557.0 3448.8 16359.9 1556.1 
07:45:20     1310.5 6292.5 896.9 919.9 3128.8 506.1 1532.2 4316.3 534.8 3454.4 16361.7 1545.3 
07:45:21     1313.9 6293.7 890.1 913.9 3129.4 522.1 1534.9 4316.9 542.3 3439.1 16359.9 1542.4 
07:45:23     1316.2 6294.4 894.1 906.4 3129.5 511.4 1529.5 4316.6 541.5 3447.7 16361.5 1550.3 
07:45:25     1317.3 6291.2 899.2 910.0 3128.9 517.0 1532.5 4316.2 530.5 3446.1 16361.7 1553.3 
07:45:27     1315.2 6291.0 898.6 910.6 3129.4 514.9 1531.5 4316.8 543.5 3443.8 16361.7 1536.2 
07:45:29     1312.0 6293.7 900.3 913.3 3130.5 520.9 1530.9 4317.1 533.5 3446.8 16362.7 1548.3 
07:45:31     1306.5 6294.1 889.7 913.4 3129.5 515.7 1527.6 4316.4 550.6 3454.2 16360.8 1552.0 
07:45:33     1305.6 6295.7 888.0 916.2 3129.8 522.5 1514.3 4315.9 531.4 3444.5 16360.9 1547.2 
07:45:35     1315.6 6292.9 904.6 915.5 3130.3 523.2 1530.6 4315.4 534.6 3446.0 16363.4 1547.9 
07:45:37     1308.3 6293.3 894.7 907.3 3129.6 514.0 1516.5 4315.7 530.6 3442.1 16360.7 1530.4 
07:45:39     1322.8 6295.7 891.8 921.9 3128.7 507.3 1527.0 4314.3 540.5 3453.1 16363.1 1540.6 
07:45:41     1318.2 6295.9 903.5 915.0 3130.0 524.8 1535.6 4314.8 533.0 3444.7 16363.6 1547.7 
07:45:43     1281.8 6291.0 866.0 908.7 3129.3 519.8 1531.5 4314.7 550.6 3436.7 16361.3 1546.8 
07:45:45     1324.6 6293.5 906.5 911.9 3129.8 528.1 1525.1 4314.4 519.8 3448.1 16363.8 1543.3 
07:45:47     1308.6 6294.7 874.0 911.8 3129.7 514.2 1524.9 4314.8 530.4 3435.5 16361.4 1552.3 
07:45:49     1314.7 6296.5 892.7 917.5 3129.1 528.5 1531.3 4314.9 524.3 3444.1 16363.8 1544.0 
07:45:51     1310.1 6295.9 882.3 917.0 3129.4 519.7 1530.0 4315.1 531.3 3454.9 16362.6 1545.0 
07:45:53     1319.9 6294.6 893.6 911.9 3127.6 519.3 1527.1 4314.8 532.3 3442.0 16361.5 1556.7 
07:45:55     1314.1 6294.1 892.4 917.8 3128.8 523.1 1517.8 4316.9 535.8 3446.5 16362.2 1551.3 
07:45:57     1322.4 6298.6 897.9 913.8 3128.8 528.7 1524.3 4314.6 526.9 3446.3 16363.3 1557.1 
07:45:59     1316.0 6297.1 888.4 909.1 3128.6 528.8 1524.0 4314.1 539.9 3439.8 16362.5 1561.1 
07:46:01     1319.0 6293.8 888.9 905.8 3128.8 517.6 1531.7 4314.0 534.9 3441.9 16361.9 1547.8 
07:46:03     1314.8 6295.7 896.1 910.4 3129.4 532.9 1528.4 4313.3 538.8 3458.3 16363.0 1556.8 
07:46:05     1310.3 6294.8 901.5 909.3 3128.3 512.9 1515.3 4314.0 514.8 3451.4 16361.7 1550.7 
07:46:07     1317.5 6299.6 900.9 903.0 3129.8 529.2 1524.1 4313.5 552.9 3450.3 16363.6 1550.1 
07:46:09     1316.2 6298.1 893.4 904.4 3128.6 516.0 1526.6 4312.9 548.8 3447.5 16364.5 1541.8 
07:46:11     1321.0 6296.6 883.5 907.7 3128.5 507.1 1528.0 4313.2 514.2 3444.2 16362.1 1544.8 
07:46:13     1319.2 6295.3 899.4 897.8 3129.3 528.5 1533.1 4312.7 541.3 3436.2 16363.5 1539.0 
07:46:15     1311.5 6298.5 881.3 907.5 3129.6 519.1 1529.6 4312.6 548.0 3454.6 16362.7 1541.0 
07:46:17     1318.8 6298.1 905.0 925.8 3129.2 527.4 1532.8 4311.6 539.1 3444.9 16362.9 1542.6 
07:46:19     1313.2 6298.8 902.9 917.3 3130.1 527.0 1522.4 4313.6 547.8 3448.9 16362.0 1545.2 
07:46:21     1319.3 6295.4 875.1 919.5 3129.5 522.0 1518.2 4315.1 522.4 3443.4 16362.4 1546.7 
07:46:23     1318.0 6295.1 890.6 908.8 3128.9 519.7 1520.7 4312.9 529.4 3449.1 16361.9 1556.0 
07:46:25     1307.3 6299.8 883.2 915.8 3129.2 531.1 1523.8 4313.1 538.5 3459.8 16362.3 1544.4 
07:46:27     1317.0 6299.4 899.0 923.0 3127.8 519.1 1522.2 4312.4 529.6 3446.6 16363.1 1545.1 
07:46:29     1322.8 6298.4 896.9 908.7 3127.9 520.1 1519.7 4312.7 533.5 3460.4 16363.0 1548.5 
07:46:31     1324.7 6295.8 890.8 914.5 3128.8 520.5 1516.6 4313.2 528.9 3445.2 16363.0 1551.3 
07:46:33     1312.3 6297.1 898.8 908.1 3127.8 541.8 1521.5 4311.9 523.8 3442.5 16364.0 1538.7 
07:46:35     1318.2 6297.1 906.0 903.8 3127.6 515.1 1529.2 4311.1 538.5 3449.3 16363.1 1543.3 
07:46:37     1320.5 6299.1 887.9 917.3 3127.7 524.7 1521.6 4312.5 535.6 3448.8 16361.9 1549.3 
07:46:39     1319.9 6296.6 897.1 911.6 3128.2 514.0 1530.3 4310.7 542.6 3446.8 16360.9 1561.1 
07:46:41     1317.1 6296.6 897.0 903.2 3128.2 530.5 1530.8 4310.6 537.6 3448.6 16363.3 1552.5 
07:46:43     1320.2 6298.3 893.6 906.9 3128.4 535.3 1519.4 4311.6 546.1 3453.5 16362.2 1536.4 
07:46:45     1320.3 6297.6 885.6 915.3 3128.3 523.6 1527.0 4311.4 537.4 3443.6 16360.5 1557.7 
07:46:47     1313.8 6295.9 890.1 912.9 3129.3 516.7 1514.6 4310.4 532.8 3457.3 16363.5 1556.3 
07:46:49     1317.9 6294.0 898.2 901.5 3126.8 524.1 1529.7 4311.0 526.4 3448.6 16361.4 1564.8 
07:46:51     1303.5 6296.3 886.9 917.6 3127.2 525.8 1526.2 4311.2 543.6 3454.4 16361.2 1558.6 
07:46:53     1311.7 6296.8 896.8 904.3 3127.4 522.9 1518.8 4311.6 551.3 3454.6 16360.3 1550.4 
07:46:55     1314.7 6297.6 897.3 916.2 3128.2 522.9 1527.8 4309.9 535.3 3454.4 16361.5 1551.4 
07:46:57     1309.1 6295.4 887.4 917.6 3127.3 519.0 1520.0 4310.1 531.5 3450.5 16360.7 1547.7 
07:46:59     1312.2 6295.8 907.3 918.2 3127.0 516.7 1520.0 4309.1 533.5 3445.5 16362.0 1535.5 
07:47:01     1309.3 6297.6 893.7 910.8 3128.0 533.9 1523.9 4309.7 544.5 3451.6 16359.4 1545.8 
07:47:03     1314.8 6299.6 878.1 911.6 3127.4 528.9 1527.8 4310.2 534.1 3455.2 16360.8 1536.3 
07:47:05     1307.3 6294.1 891.5 925.2 3126.4 509.4 1516.5 4309.3 531.4 3450.5 16359.3 1555.0 
07:47:07     1315.1 6293.1 886.0 921.9 3127.1 525.5 1526.6 4308.9 534.0 3450.9 16359.9 1556.3 
07:47:09     1325.7 6291.9 893.8 904.5 3126.7 515.0 1526.8 4310.2 535.6 3449.0 16359.4 1557.6 
07:47:11     1314.5 6293.4 896.0 903.6 3127.1 535.4 1528.7 4308.9 520.2 3451.9 16359.4 1543.8 
07:47:13     1311.9 6294.9 896.7 914.5 3127.2 515.3 1522.8 4308.7 538.5 3454.8 16359.0 1552.6 
07:47:15     1312.0 6295.0 891.4 910.9 3126.0 521.4 1516.3 4309.1 546.9 3451.1 16359.4 1551.1 
07:47:17     1317.6 6293.9 895.3 915.0 3126.8 518.9 1522.6 4308.4 532.5 3447.9 16359.3 1547.5 
07:47:19     1312.6 6295.9 897.4 909.6 3126.6 528.2 1523.6 4307.6 529.9 3438.8 16360.1 1539.4 
07:47:21     1315.6 6271.4 897.5 919.2 3101.8 517.5 1524.1 4307.1 541.7 3464.8 16360.3 1546.1 
07:47:23     1305.0 6290.9 900.5 913.0 3126.0 507.6 1527.6 4308.0 545.1 3454.1 16359.3 1545.3 
07:47:25     1312.8 6293.0 898.7 914.8 3126.5 519.5 1520.4 4307.4 529.0 3457.9 16358.0 1542.5 
07:47:27     1323.3 6291.0 897.6 906.2 3125.4 519.3 1525.5 4308.4 535.0 3442.0 16357.3 1538.7 
07:47:29     1310.2 6291.9 893.7 906.6 3126.5 525.2 1523.4 4307.0 538.5 3446.9 16359.5 1544.2 
07:47:31     1319.5 6294.1 894.9 911.5 3125.1 521.4 1528.2 4307.9 521.4 3447.2 16359.4 1546.3 
07:47:33     1317.7 6291.5 888.4 920.9 3125.2 522.3 1523.7 4308.1 542.7 3441.3 16358.9 1556.7 
07:47:35     1319.6 6291.4 893.5 899.6 3124.9 529.9 1531.1 4307.1 544.2 3454.8 16359.9 1545.1 
07:47:37     1314.9 6294.6 892.6 912.2 3124.8 535.7 1526.8 4306.5 527.6 3447.2 16359.2 1550.7 
07:47:39     1339.4 6289.6 887.9 889.2 3124.4 531.4 1548.8 4305.9 532.6 3425.5 16353.0 1567.8 
07:47:41     1314.3 6289.0 900.3 909.7 3124.9 516.2 1517.4 4306.3 539.9 3443.2 16357.8 1568.3 
07:47:43     1320.7 6289.0 891.7 907.2 3125.1 519.3 1521.6 4306.3 550.2 3443.1 16359.7 1556.1 
07:47:45     1313.2 6289.3 894.6 914.9 3125.9 523.6 1522.7 4305.8 536.0 3442.4 16358.1 1553.0 
07:47:47     1319.0 6291.8 904.3 912.1 3124.8 515.9 1526.5 4305.3 531.3 3443.7 16358.9 1553.5 
07:47:49     1312.7 6292.6 896.7 916.7 3125.3 524.2 1520.6 4306.4 536.9 3456.4 16359.9 1542.7 
07:47:51     1321.2 6289.9 899.5 910.1 3124.6 524.4 1533.0 4305.8 545.2 3452.1 16357.3 1556.9 
07:47:53     1320.6 6290.3 891.4 905.8 3126.2 521.7 1522.8 4304.8 541.8 3448.3 16357.8 1546.3 
07:47:55     1306.7 6293.0 902.6 906.6 3124.3 517.7 1518.4 4304.8 536.1 3452.4 16358.5 1554.8 
07:47:57     1294.5 6290.9 889.3 934.9 3125.4 515.3 1510.1 4304.6 551.4 3466.3 16361.3 1538.8 
07:47:59     1320.0 6289.3 881.7 906.9 3125.0 521.7 1529.2 4304.6 527.6 3439.0 16359.5 1550.8 
07:48:01     1307.1 6288.3 898.6 912.1 3125.1 521.0 1516.4 4305.5 534.3 3454.0 16359.6 1555.5 
07:48:03     1311.3 6289.7 888.0 896.5 3126.0 521.3 1523.1 4305.6 523.1 3454.1 16357.5 1551.5 
07:48:05     1311.4 6290.9 899.6 905.2 3124.4 532.1 1519.3 4304.6 534.3 3451.2 16358.4 1546.7 
07:48:07     1308.4 6291.8 900.3 912.3 3124.3 517.6 1526.6 4305.3 537.6 3450.2 16360.5 1544.7 
07:48:09     1310.6 6289.0 884.4 908.1 3123.6 530.2 1523.9 4306.3 548.5 3453.2 16358.7 1556.0 
07:48:11     1311.9 6288.4 896.0 911.0 3123.2 528.1 1522.3 4304.9 535.0 3452.2 16359.6 1549.8 
07:48:13     1327.7 6289.4 900.5 906.8 3124.8 525.6 1531.2 4305.1 539.6 3447.7 16360.8 1559.8 
07:48:15     1313.2 6288.4 898.4 917.1 3123.8 522.6 1525.3 4304.7 534.5 3460.0 16362.2 1544.3 
07:48:17     1317.0 6290.1 900.1 912.9 3124.9 501.2 1515.4 4305.3 536.0 3455.0 16359.0 1545.4 
07:48:19     1312.8 6286.8 878.5 910.5 3123.5 516.9 1525.7 4304.4 537.5 3453.3 16360.0 1548.5 
07:48:21     1313.2 6287.1 893.8 913.4 3124.1 518.3 1514.5 4305.6 540.5 3454.5 16358.7 1549.7 
07:48:23     1317.4 6291.2 893.9 916.4 3125.0 525.8 1521.0 4304.6 537.7 3455.0 16359.3 1548.3 
07:48:25     1316.8 6289.8 883.4 906.0 3124.5 525.7 1529.8 4305.2 550.6 3448.4 16359.6 1551.4 
07:48:27     1312.9 6287.5 891.5 904.2 3123.8 523.2 1519.6 4304.1 530.3 3439.7 16358.8 1536.6 
07:48:29     1310.5 6287.6 904.4 910.0 3124.6 531.3 1536.2 4304.2 538.3 3448.9 16357.8 1555.5 
07:48:31     1330.3 6285.6 900.3 889.3 3124.2 529.6 1546.7 4304.8 525.7 3433.9 16363.0 1562.3 
07:48:33     1312.3 6288.6 882.4 909.3 3123.6 524.1 1525.0 4304.5 531.0 3435.2 16358.6 1550.6 
07:48:35     1308.3 6287.3 900.3 913.3 3123.9 525.9 1519.3 4304.0 539.0 3449.6 16360.6 1545.1 
07:48:37     1309.5 6285.6 898.0 904.5 3124.2 514.6 1507.6 4304.9 536.4 3452.4 16360.6 1555.1 
07:48:39     1312.3 6286.0 886.7 902.8 3124.5 521.5 1527.7 4304.8 539.0 3451.8 16360.0 1548.0 
07:48:41     1315.3 6287.4 888.9 912.7 3124.0 533.3 1525.5 4303.9 530.0 3445.4 16359.7 1551.6 
07:48:43     1319.0 6288.2 886.8 904.8 3124.7 531.4 1531.0 4304.4 537.4 3442.6 16362.4 1552.2 
07:48:45     1315.1 6288.4 898.5 900.3 3124.5 525.0 1533.5 4304.8 515.0 3445.0 16359.8 1552.4 
07:48:47     1317.4 6284.6 878.9 901.7 3123.9 525.5 1530.0 4303.6 529.4 3432.5 16364.2 1547.2 
07:48:49     1304.3 6285.8 888.2 908.1 3124.0 521.5 1526.0 4304.6 537.1 3449.4 16363.9 1546.5 
07:48:51     1318.8 6289.0 896.2 912.0 3123.7 529.4 1526.4 4303.8 535.9 3447.8 16361.5 1552.2 
07:48:53     1308.1 6289.2 904.2 908.0 3125.1 519.7 1510.7 4303.4 542.5 3442.9 16362.3 1559.0 
07:48:55     1308.4 6286.7 903.5 905.3 3124.7 514.4 1533.4 4303.7 537.8 3450.5 16361.8 1541.9 
